	Wolf1_S70	Wolf10_S79	Wolf11_S80	Wolf12_S81	Wolf13_S82	Wolf14_S83	Wolf15_S84	Wolf16_S85	Wolf17_S86	Wolf18_S87	Wolf19_S88	Wolf2_S71	Wolf20_S89	Wolf21_S90	Wolf22_S91	Wolf23_S92	Wolf24_S93	Wolf25_S94	Wolf3_S72	Wolf4_S73	Wolf5_S74	Wolf6_S75	Wolf7_S76	Wolf8_S77	Wolf9_S78
ASV 1 _	87	268	0	815	93	11	47672	3249	4949	1019	54	0	2073	1864	8489	124	6404	88	31184	3	2972	7202	4136	366	169
ASV 2 _	41243	5	10	1244	152	36	72	48	628	396	27	291	300	50	12	2	91	28	301	3	8190	11331	8337	3656	578
ASV 3 _	0	346	8	0	31	295	0	80	0	0	83	0	27070	29741	250	8	0	0	0	0	0	2	37	0	0
ASV 4 _	367	4933	1824	6149	218	357	3005	142	733	259	455	2449	179	4958	425	253	3164	345	1730	1	286	566	1356	1393	6871
ASV 5 _	16	305	35	189	5793	177	48	110	310	73	210	11456	123	13	500	65	7	458	397	0	24	48	36	630	10020
ASV 6 _	20	0	0	0	1	0	29	0	8089	6005	1507	0	71	0	1	24	0	0	0	0	906	2154	0	0	676
ASV 7 _	37	623	15	1902	311	107	103	6	90	41	530	1659	0	31	0	0	57	21	57	0	403	412	107	673	4043
ASV 8 _	1	1608	34	37	61	12	21	4063	1370	1497	209	0	33	7	822	44	17	236	0	0	8	15	7	69	5
ASV 9 _	160	19	20	59	116	107	93	715	284	255	511	1093	224	129	609	32	107	1587	1923	0	81	159	118	4	66
ASV 10 _	258	1444	60	15	436	2	2512	0	94	19	318	536	0	46	0	0	0	0	1022	1	323	799	56	0	425
ASV 11 _	0	0	0	240	7989	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 12 _	53	119	3542	0	0	0	711	0	387	297	0	0	0	491	66	28	0	0	73	0	435	925	775	41	0
ASV 13 _	1315	0	0	0	0	0	519	0	1344	306	3767	0	7	2	0	4	0	0	0	0	2	0	0	0	0
ASV 14 _	365	0	1	0	0	0	3	0	3230	2114	758	0	0	93	0	2	2	0	0	0	42	55	51	0	0
ASV 15 _	10	0	0	366	387	233	250	75	348	323	1029	829	0	22	0	0	272	0	657	0	328	720	29	0	694
ASV 16 _	43	31	34	109	0	0	200	87	952	196	59	49	0	84	0	0	323	0	285	0	391	805	1137	628	405
ASV 17 _	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3629	1948	0	0	0
ASV 18 _	0	0	0	0	0	5312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 19 _	0	0	0	0	0	0	11	1	2692	1185	105	0	0	76	0	0	0	0	0	0	0	0	0	0	1212
ASV 20 _	0	823	51	155	411	827	14	384	202	251	0	61	24	0	1	94	107	52	21	0	22	30	27	277	210
ASV 21 _	13	0	381	330	57	0	179	46	258	198	180	234	74	32	0	0	38	0	548	0	264	644	67	135	141
ASV 22 _	0	53	0	87	61	133	25	351	547	649	426	1	0	43	356	0	59	0	675	0	2	2	4	0	95
ASV 23 _	18	0	0	235	0	0	62	0	394	76	0	45	145	148	359	44	12	0	819	0	62	146	333	408	177
ASV 24 _	265	214	0	0	0	3	26	0	50	6	215	0	185	343	307	0	24	0	166	0	212	595	324	142	359
ASV 25 _	0	0	0	1	0	0	58	8	707	121	0	0	0	122	59	5	607	66	19	0	355	869	297	118	10
ASV 26 _	0	0	4	67	0	0	19	0	53	5	0	5	0	18	0	0	47	0	0	1	18	24	1802	446	762
ASV 27 _	1	239	312	219	0	79	203	72	171	31	0	211	0	61	144	25	135	6	58	0	116	277	199	0	173
ASV 28 _	72	201	26	432	8	25	68	8	102	15	271	651	0	30	0	40	126	101	303	0	45	73	26	17	0
ASV 29 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1752	711	0	0	132
ASV 30 _	0	19	74	69	0	0	65	337	228	292	842	0	74	23	0	0	174	0	233	0	18	18	123	0	0
ASV 31 _	4	40	17	32	24	0	335	172	244	126	146	0	104	655	57	47	143	4	0	0	56	124	24	202	0
ASV 32 _	0	2510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
ASV 33 _	0	0	8	0	59	0	298	271	317	132	0	0	112	636	87	2	48	0	38	0	15	50	23	12	258
ASV 34 _	138	0	0	0	0	0	1918	0	66	4	0	0	0	21	0	0	0	0	104	0	22	32	0	0	0
ASV 35 _	91	138	242	163	5	26	170	0	32	9	0	53	12	32	0	0	86	0	112	0	156	353	93	191	226
ASV 36 _	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	71	0	565	1367	0	0	0
ASV 37 _	2	0	0	0	0	0	112	13	790	559	204	0	0	6	73	4	0	0	0	0	8	4	145	56	0
ASV 38 _	0	155	2	0	96	0	7	1296	34	17	0	0	54	0	23	0	13	57	8	0	1	9	0	125	0
ASV 39 _	8	1209	81	134	65	53	10	0	10	2	0	29	0	6	0	0	0	0	89	0	24	11	11	48	98
ASV 40 _	6	0	408	55	0	38	34	0	15	5	0	107	40	37	0	0	0	17	766	0	17	43	51	55	85
ASV 41 _	0	0	0	282	65	1150	0	65	0	0	0	0	0	0	0	3	24	19	43	0	0	0	41	38	7
ASV 42 _	1	18	137	210	113	20	86	135	120	77	1	92	0	54	0	20	54	0	200	0	43	14	212	0	99
ASV 43 _	0	23	0	6	30	219	0	0	7	3	32	14	58	1	866	174	14	216	0	0	11	21	0	0	0
ASV 44 _	8	1491	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	36	0	29	12	0	0	0
ASV 45 _	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	171	349	0	0	513
ASV 46 _	1	1	7	315	36	3	0	4	0	0	1031	0	40	0	0	0	12	94	0	0	0	0	0	0	0
ASV 47 _	0	42	4	27	0	0	69	229	330	343	0	0	63	10	9	0	40	92	0	0	18	46	0	0	188
ASV 48 _	26	30	0	29	17	70	0	0	0	0	0	67	0	8	0	0	1	0	40	0	25	43	14	920	153
ASV 49 _	0	0	0	1150	0	0	0	0	112	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 50 _	9	0	0	0	0	0	499	48	65	9	0	0	0	0	0	0	14	0	0	0	202	464	28	0	0
ASV 51 _	0	0	9	0	16	59	0	269	149	164	2	33	0	0	302	52	59	0	85	0	0	0	6	79	0
ASV 52 _	17	0	0	0	114	0	66	0	17	7	0	0	0	0	0	2	0	10	1025	0	3	0	0	0	0
ASV 53 _	0	1198	0	0	23	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	18	0	0	0
ASV 54 _	1	600	48	162	0	62	17	0	2	0	0	23	8	3	0	4	19	0	141	0	18	20	14	42	56
ASV 55 _	0	0	0	937	0	102	30	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 56 _	13	33	86	19	0	0	243	22	14	2	0	0	0	24	75	53	234	0	50	0	48	113	93	0	79
ASV 57 _	0	605	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	234	0	0	0	0	0	0
ASV 58 _	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	18	372	0	5	3	0	0	0
ASV 59 _	9	0	0	160	0	223	0	90	0	0	0	470	69	0	0	0	11	0	0	0	0	0	0	0	0
ASV 60 _	0	0	0	32	0	0	0	0	33	22	0	0	0	0	0	0	0	0	0	0	0	0	0	943	0
ASV 61 _	0	937	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	33	23	0	0	0
ASV 62 _	0	968	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV 63 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	0	0	0	0	0	0	0
ASV 64 _	0	0	0	0	0	0	0	0	0	0	0	0	23	0	874	0	0	0	0	0	0	0	0	0	0
ASV 65 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	60	0	660	0	7	40	0	0	87
ASV 66 _	3	0	110	159	30	0	0	0	79	56	0	0	57	29	66	0	0	0	16	0	23	39	3	0	184
ASV 67 _	91	90	2	29	127	86	6	118	56	73	0	4	0	0	11	96	6	2	2	0	5	9	9	11	7
ASV 68 _	0	0	0	771	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0
ASV 69 _	17	0	0	0	0	0	3	0	24	0	0	0	0	10	0	0	3	0	0	0	195	500	43	0	0
ASV 70 _	0	0	0	121	0	0	0	0	0	0	286	0	11	29	0	0	0	0	120	0	0	0	0	0	222
ASV 71 _	7	0	0	0	0	0	0	24	0	0	0	161	0	0	0	0	38	302	255	0	0	0	0	0	0
ASV 72 _	5	100	0	0	0	0	71	5	4	0	0	13	0	0	0	3	6	0	38	0	127	289	0	0	115
ASV 73 _	1	0	361	0	0	0	19	0	2	0	0	0	0	0	234	0	1	0	0	0	32	98	4	0	0
ASV 74 _	26	35	0	137	0	0	9	0	22	4	0	0	0	0	0	0	21	0	35	0	23	84	0	55	271
ASV 75 _	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	311	399	0	0	0	0	0	0
ASV 76 _	6	341	0	59	0	0	11	0	10	0	0	66	0	0	0	0	0	0	0	0	20	15	0	164	23
ASV 77 _	7	0	0	121	226	0	7	0	91	91	0	0	0	0	0	0	0	0	0	0	50	54	43	0	0
ASV 78 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689	0	0	0	0	0	0	0
ASV 79 _	44	21	0	0	0	0	186	54	64	27	0	0	0	0	43	0	45	0	103	0	24	53	24	0	0
ASV 80 _	0	0	0	77	0	0	0	0	0	0	362	0	0	2	0	0	5	0	0	0	1	2	0	238	0
ASV 81 _	1	0	12	229	7	0	28	4	2	0	0	0	0	3	0	12	14	72	0	0	10	11	37	40	197
ASV 82 _	6	0	0	61	0	0	7	0	156	149	0	45	82	0	0	0	0	0	0	0	20	42	0	0	102
ASV 83 _	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	0	0	0	478	0	40	124	5	0	0
ASV 84 _	9	0	8	77	0	0	106	60	12	13	131	0	0	0	0	0	32	0	0	0	12	20	55	87	36
ASV 85 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	204	3	0	0
ASV 86 _	7	0	0	331	0	0	41	15	9	12	0	10	0	0	0	9	44	31	0	0	3	10	60	7	60
ASV 87 _	0	0	0	151	0	0	13	0	0	0	0	0	0	31	0	0	26	0	0	0	83	233	47	0	43
ASV 88 _	0	0	0	24	0	0	27	96	144	133	0	0	0	2	0	0	14	0	174	0	0	0	0	0	0
ASV 89 _	3	0	0	0	0	0	0	391	3	2	0	0	0	16	0	0	4	0	147	0	10	27	0	0	0
ASV 90 _	0	10	6	297	0	0	16	0	0	0	0	0	0	6	0	44	223	0	0	0	0	0	0	0	0
ASV 91 _	0	598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 92 _	0	0	0	0	80	0	0	62	25	0	0	0	14	0	0	0	0	0	0	0	87	204	102	0	0
ASV 93 _	0	0	0	0	0	0	3	9	9	12	0	0	0	0	486	27	0	0	13	0	0	0	0	0	0
ASV 94 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	194	0	7	0
ASV 95 _	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	15	5	444	43	42
ASV 96 _	0	361	0	0	0	0	17	84	0	0	0	0	0	0	0	0	3	0	0	0	5	11	5	0	62
ASV 97 _	7	252	72	0	73	35	10	7	4	0	0	13	0	0	33	0	7	0	0	0	5	11	15	0	0
ASV 98 _	0	250	0	0	98	0	23	0	5	0	36	0	0	0	0	0	0	0	0	0	3	0	0	0	129
ASV 99 _	6	0	0	0	0	0	2	17	8	0	0	1	0	0	0	0	0	477	29	0	0	0	0	0	0
ASV 100 _	0	0	0	0	0	0	6	452	12	9	0	0	0	4	46	0	0	0	0	0	2	9	0	0	0
ASV 101 _	0	9	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	8	0	0	314	155	0	0	38
ASV 102 _	6	0	0	0	0	0	219	3	86	66	0	0	0	0	0	0	0	0	0	0	32	86	27	0	0
ASV 103 _	0	0	0	90	0	0	18	0	8	0	0	0	0	19	218	0	0	0	138	0	0	0	0	0	30
ASV 104 _	2	0	256	0	0	0	9	0	0	0	0	0	24	38	13	0	0	0	0	0	45	131	0	0	0
ASV 105 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	0
ASV 106 _	0	16	0	203	0	0	18	0	11	19	0	0	0	0	0	0	0	0	0	0	4	13	0	0	209
ASV 107 _	0	0	0	110	29	150	0	76	0	0	0	0	0	0	121	0	3	0	0	0	0	0	0	0	0
ASV 108 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	139	0	0	0
ASV 109 _	0	361	0	0	99	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0
ASV 110 _	3	216	1	0	126	6	2	0	0	0	0	0	0	0	0	0	0	0	0	2	90	28	0	0	0
ASV 111 _	1	40	0	24	4	0	6	0	3	0	0	89	0	0	0	0	1	0	96	0	70	47	88	2	0
ASV 112 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	67	0
ASV 113 _	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	46	212	0	0	0	15	34	53	51	49
ASV 114 _	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0
ASV 115 _	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	333	115	0	0	0
ASV 116 _	0	0	0	0	51	0	0	0	7	1	0	300	0	0	0	0	0	0	30	0	0	0	0	0	70
ASV 117 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	121	0	0	0
ASV 118 _	0	0	0	0	405	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	5	5	0	0	0
ASV 119 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	0	0	0	0
ASV 120 _	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	73	0	0	4	0	0	0	0
ASV 121 _	0	0	0	0	0	0	0	0	1	0	0	225	0	0	0	0	13	0	181	0	0	0	0	0	0
ASV 122 _	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	6	0	0	0	41	64	0	0	17
ASV 123 _	0	0	0	76	0	0	12	0	32	26	0	53	0	0	0	0	4	0	0	1	9	6	13	169	0
ASV 124 _	0	0	0	19	0	0	0	0	175	180	0	0	6	0	0	0	4	7	5	0	0	0	0	0	5
ASV 125 _	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	80	0	0	1	0	134	101	0	0	0
ASV 126 _	5	0	0	0	0	0	7	354	5	0	0	0	0	4	0	0	3	0	0	0	1	12	0	0	0
ASV 127 _	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	68	0	0	0
ASV 128 _	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 129 _	10	0	0	34	0	0	22	0	9	2	0	0	0	50	0	0	23	0	18	0	23	84	103	0	0
ASV 130 _	0	0	0	5	0	0	23	0	302	40	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV 131 _	2	0	0	69	0	0	24	64	46	45	0	0	0	1	0	0	0	0	0	0	36	70	12	0	0
ASV 132 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	147	211	0
ASV 133 _	0	0	0	0	81	0	0	0	2	0	0	24	0	0	0	0	0	0	0	0	0	0	0	258	0
ASV 134 _	0	0	0	249	0	0	14	0	0	0	0	0	0	0	0	6	57	0	0	0	5	9	24	0	0
ASV 135 _	0	0	158	0	0	0	32	0	13	0	0	0	0	9	0	36	0	0	0	0	0	0	0	0	114
ASV 136 _	0	0	0	0	0	0	22	0	92	20	69	0	0	8	0	0	0	0	0	0	33	108	6	0	0
ASV 137 _	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 138 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	104	0	0	0
ASV 139 _	0	0	0	0	195	0	0	0	5	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	101
ASV 140 _	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	59	257	0	0
ASV 141 _	0	0	0	0	0	0	0	69	128	127	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0
ASV 142 _	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 143 _	0	0	0	0	0	0	0	0	161	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 144 _	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 145 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	4	0
ASV 146 _	1	0	22	12	0	0	14	0	19	19	0	0	8	15	0	0	0	0	9	0	6	23	10	0	179
ASV 147 _	0	0	0	0	0	0	12	127	2	0	148	0	31	0	0	0	16	0	0	0	0	0	0	0	0
ASV 148 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0
ASV 149 _	0	0	0	0	0	0	9	161	29	14	7	0	83	0	18	0	8	0	0	0	0	0	0	0	4
ASV 150 _	4	0	10	0	0	0	32	0	3	0	0	18	0	0	0	7	21	31	45	0	53	108	0	0	0
ASV 151 _	0	0	0	0	0	226	7	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 152 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0
ASV 153 _	0	243	5	56	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 154 _	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	29	0	0	290	0	0	0	0	0	0
ASV 155 _	3	0	0	0	0	27	0	0	9	5	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 156 _	2	288	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	19	0	0	0	4	0	0
ASV 157 _	0	0	0	0	0	0	0	0	163	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 158 _	0	0	0	13	0	0	0	0	10	0	19	121	0	3	0	0	54	0	0	0	0	0	0	0	96
ASV 159 _	0	0	0	0	0	0	0	0	161	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 160 _	0	0	5	0	0	0	1	137	60	44	0	0	0	0	0	0	1	0	0	0	20	45	0	0	0
ASV 161 _	4	0	0	6	0	0	21	0	93	15	0	0	0	5	0	0	15	0	44	0	30	79	0	0	0
ASV 162 _	10	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	8	20	0	0
ASV 163 _	0	0	0	0	0	6	0	0	0	0	0	0	0	0	172	0	0	0	82	0	13	28	9	0	0
ASV 164 _	0	0	0	4	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0
ASV 165 _	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 166 _	0	0	0	55	0	0	22	0	27	0	0	0	0	0	0	0	7	0	0	0	88	44	0	0	55
ASV 167 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	176	23	0	3
ASV 168 _	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	196	0	0	0
ASV 169 _	0	0	0	0	0	13	0	0	0	0	0	64	0	0	140	0	3	0	55	0	0	0	2	0	13
ASV 170 _	0	0	0	0	0	0	9	0	0	0	0	0	19	24	0	0	0	0	0	0	38	100	39	38	21
ASV 171 _	3	42	47	31	0	0	0	0	2	0	0	60	0	0	0	0	0	0	0	0	5	16	12	0	68
ASV 172 _	0	44	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	9	1	0	0	0
ASV 173 _	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0
ASV 174 _	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV 175 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0
ASV 176 _	0	0	0	0	0	0	5	0	112	100	0	0	0	0	0	29	18	0	0	0	0	4	9	0	0
ASV 177 _	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	242	1	23
ASV 178 _	0	0	0	2	0	0	0	0	2	0	0	117	0	0	0	0	0	44	73	0	0	0	0	0	32
ASV 179 _	0	256	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ASV 180 _	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 181 _	0	0	0	0	0	0	0	0	148	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 182 _	0	0	0	21	0	0	0	63	1	0	0	91	0	0	0	0	2	0	0	0	29	52	0	0	0
ASV 183 _	11	0	58	0	0	0	46	0	30	20	0	0	0	0	0	0	3	0	0	0	18	37	4	0	30
ASV 184 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	84	1	0	0
ASV 185 _	0	0	0	0	0	0	23	5	4	0	6	0	181	0	0	1	17	16	0	0	0	0	0	0	0
ASV 186 _	0	9	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	6	3	16	0	0
ASV 187 _	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 188 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	62	0	0	0
ASV 189 _	0	0	0	0	0	0	0	59	0	0	0	0	22	0	0	0	0	0	0	0	109	58	0	0	0
ASV 190 _	0	0	12	0	0	0	15	0	1	0	0	0	0	12	0	0	123	0	0	0	4	10	23	0	44
ASV 191 _	0	0	0	71	0	0	100	0	0	0	0	0	0	50	0	0	4	0	19	0	0	0	0	0	0
ASV 192 _	0	0	0	0	0	0	5	0	0	0	104	0	0	11	0	0	0	0	0	0	17	59	31	9	0
ASV 193 _	0	0	0	0	0	0	0	0	109	110	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV 194 _	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0
